generation,kappa_mean,kappa_median,kappa_sd,kappa_min,kappa_max,kappa_q25,kappa_q75,mean_fitness,n_pop
480,0.7309,0.7303,0.0077,0.7104,0.753,0.7257,0.7359,1.0083,100
481,0.7286,0.7286,0.0061,0.7148,0.7465,0.7244,0.7324,1.0088,100
482,0.7289,0.7283,0.0066,0.7152,0.7458,0.7245,0.7332,1.0086,100
483,0.7303,0.7301,0.0072,0.7135,0.7464,0.7257,0.7346,1.0085,100
484,0.7303,0.7304,0.0064,0.7135,0.7429,0.7257,0.734,1.0087,100
485,0.7283,0.7293,0.0072,0.7109,0.7429,0.7225,0.7338,1.0083,100
486,0.7302,0.7311,0.0062,0.712,0.7404,0.7265,0.7342,1.0087,100
487,0.731,0.73,0.0076,0.714,0.7508,0.7257,0.7356,1.0084,100
488,0.7302,0.7312,0.0075,0.7101,0.7464,0.7253,0.7349,1.0084,100
489,0.7302,0.7313,0.0075,0.7106,0.7484,0.7259,0.7356,1.0083,100
490,0.7308,0.7306,0.0061,0.7149,0.7433,0.7266,0.7358,1.0087,100
491,0.7306,0.7307,0.0066,0.7173,0.7439,0.7249,0.7362,1.0085,100
492,0.7299,0.73,0.0073,0.7099,0.7485,0.7246,0.7347,1.0084,100
493,0.7306,0.7311,0.0064,0.715,0.7457,0.726,0.7355,1.0086,100
494,0.7311,0.7309,0.0062,0.7141,0.748,0.7273,0.7347,1.0088,100
495,0.7303,0.7313,0.0072,0.7136,0.7524,0.7253,0.7342,1.0085,100
496,0.7313,0.7314,0.0063,0.7156,0.7447,0.727,0.736,1.0086,100
497,0.7308,0.7306,0.0063,0.7187,0.7487,0.7271,0.7343,1.0088,100
498,0.7303,0.7294,0.0061,0.7178,0.7427,0.7264,0.7346,1.0088,100
499,0.7312,0.7316,0.0066,0.7131,0.7497,0.7268,0.736,1.0086,100
500,0.7288,0.7282,0.0068,0.7089,0.7477,0.7245,0.7326,1.0086,100
